Name,Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),No. of Trades
Tadawul All Share Index (TASI),07-05-2008,9467.68,9472.85,9359.2,9378.34,194808995,7055800216.5,192814
Tadawul All Share Index (TASI),07-06-2008,9378.34,9483.23,9276.03,9483.23,217781787,7775015009.75,204703
Tadawul All Share Index (TASI),07-07-2008,9483.23,9567.26,9483.23,9517.32,185933068,7384476892.75,210285
Tadawul All Share Index (TASI),07-08-2008,9517.32,9524.23,9241.02,9293.45,193894925,7892172101.25,208097
Tadawul All Share Index (TASI),07-09-2008,9293.45,9306.07,8978.26,8998.28,224253460,8500652979.25,222331
Tadawul All Share Index (TASI),07-12-2008,8998.28,9039.63,8879.42,8995.07,188894334,6417116319.75,193066
Tadawul All Share Index (TASI),07-13-2008,8995.07,9183.15,8990.72,9145.03,209790141,8108961001,213940
Tadawul All Share Index (TASI),07-14-2008,9145.03,9161.98,9079.66,9099.2,219701500,6920992339.5,440875
Tadawul All Share Index (TASI),07-15-2008,9099.2,9099.34,8585.29,8706.77,224379859,7004537661.75,207420
Tadawul All Share Index (TASI),07-16-2008,8706.77,8878.91,8512.32,8861.24,234413868,6997056766,490928
Tadawul All Share Index (TASI),07-19-2008,8861.24,9163.15,8842,9073.8,289535171,9079949731.75,237574
Tadawul All Share Index (TASI),07-20-2008,9073.8,9122.1,8921.66,9081.65,259066982,8442995732,225280
Tadawul All Share Index (TASI),07-21-2008,9081.65,9126.72,8996.2,9096.16,190900757,6850913092.25,188858
Tadawul All Share Index (TASI),07-22-2008,9096.16,9117.15,9035.69,9108.42,192686641,6537919519.25,199002
Tadawul All Share Index (TASI),07-23-2008,9108.42,9141.47,9039.62,9080.87,175323457,6561934056.5,191874
Tadawul All Share Index (TASI),07-26-2008,9080.87,9080.87,8961.87,9022.31,151625658,5989058756.25,163174
Tadawul All Share Index (TASI),07-27-2008,9022.31,9044.27,8931.61,8942.89,161227134,5849930841.25,159595
Tadawul All Share Index (TASI),07-28-2008,8942.89,8942.89,8771.03,8805.45,445766306,13265025098.5,733901
Tadawul All Share Index (TASI),07-29-2008,8805.45,8853.03,8664.7,8773.05,269629031,8137517964.25,304065
Tadawul All Share Index (TASI),07-30-2008,8773.05,8822.13,8702.96,8740.74,175792111,5540159694,211807
Tadawul All Share Index (TASI),08-02-2008,8740.74,8740.74,8519.9,8633.5,182207824,5852300298.25,200739
Tadawul All Share Index (TASI),08-03-2008,8633.5,8693.31,8608.92,8627.24,130214207,4298570349.25,161867
Tadawul All Share Index (TASI),08-04-2008,8627.24,8632,8454.84,8469.77,106058763,3555303552.25,136761
Tadawul All Share Index (TASI),08-05-2008,8469.77,8505.91,8380.02,8502.2,110977366,3683964152.5,130709
